fsu.old,fsu.new
70000,26666
70003,26660
70004,26667
70005,26661
70006,26668
70008,26669
70009,26663
70010,26646
70013,26640
70014,26647
70015,26641
70016,26648
70017,26642
70018,26649
70021,26654
70022,26655
70023,26650
70024,26657
70025,26651
70026,26658
70027,26652
70028,26659
70029,26653
70030,26606
70031,26604
70032,26605
70035,26601
70036,26608
70038,26609
70039,26603
70040,26676
70042,26675
70046,26678
70049,26673
70050,26616
70051,26614
70052,26615
70053,26610
70054,26617
70055,26611
70056,26618
70060,26686
70061,26684
70063,26680
70065,26681
70066,26688
70067,26682
70069,26683
70070,26626
70071,26624
70072,26625
70074,26627
70078,26629
70080,26696
70081,26694
70082,26695
70083,26690
70084,26697
70085,26691
70086,26698
70087,26692
70088,26699
70089,26693
70091,26634
70092,26635
70093,26630
70094,26637
70095,26631
70096,26638
70097,26632
70099,26633
70130,26406
70131,26404
70134,26407
70137,26402
70138,26409
70139,26403
70150,26416
70152,26415
70153,26410
70155,26411
70157,26412
70159,26413
70202,26565
70203,26560
70204,26567
70206,26568
70207,26562
70208,26569
70209,26563
70210,26546
70211,26544
70212,26545
70213,26540
70214,26547
70215,26541
70216,26548
70217,26542
70218,26549
70219,26543
70222,26555
70223,26550
70224,26557
70225,26551
70226,26558
70229,26553
70232,26505
70234,26507
70235,26501
70236,26508
70238,26509
70239,26503
70240,26576
70241,26574
70243,26570
70244,26577
70245,26571
70248,26579
70250,26516
70252,26515
70253,26510
70254,26517
70256,26518
70257,26512
70258,26519
70259,26513
70260,26586
70261,26584
70262,26585
70265,26581
70266,26588
70269,26583
70271,26524
70272,26525
70273,26520
70277,26522
70278,26529
70280,26596
70281,26594
70283,26590
70284,26597
70285,26591
70287,26592
70290,26536
70291,26534
70292,26535
70293,26530
70295,26531
70296,26538
70297,26532
70301,26064
70302,26065
70304,26067
70305,26061
70306,26068
70308,26069
70310,26046
70311,26044
70312,26045
70313,26040
70314,26047
70315,26041
70319,26043
70321,26054
70322,26055
70323,26050
70324,26057
70326,26058
70327,26052
70328,26059
70331,26004
70332,26005
70335,26001
70336,26008
70337,26002
70339,26003
70340,26076
70341,26074
70343,26070
70344,26077
70345,26071
70346,26078
70347,26072
70348,26079
70349,26073
70351,26014
70352,26015
70353,26010
70354,26017
70355,26011
70356,26018
70357,26012
70359,26013
70360,26086
70361,26084
70362,26085
70363,26080
70364,26087
70365,26081
70366,26088
70367,26082
70368,26089
70369,26083
70372,26025
70375,26021
70376,26028
70378,26029
70379,26023
70380,26096
70381,26094
70382,26095
70383,26090
70384,26097
70385,26091
70386,26098
70387,26092
70388,26099
70390,26036
70391,26034
70392,26035
70393,26030
70394,26037
70395,26031
70396,26038
70397,26032
70398,26039
70399,26033
70400,26766
70401,26764
70403,26760
70404,26767
70405,26761
70407,26762
70408,26769
70409,26763
70412,26745
70413,26740
70415,26741
70416,26748
70417,26742
70418,26749
70419,26743
70421,26754
70422,26755
70423,26750
70424,26757
70425,26751
70426,26758
70427,26752
70429,26753
70433,26700
70435,26701
70436,26708
70437,26702
70438,26709
70439,26703
70440,26776
70441,26774
70442,26775
70443,26770
70445,26771
70446,26778
70447,26772
70451,26714
70452,26715
70454,26717
70455,26711
70456,26718
70457,26712
70458,26719
70459,26713
70462,26785
70463,26780
70465,26781
70466,26788
70468,26789
70470,26726
70472,26725
70473,26720
70474,26727
70475,26721
70476,26728
70477,26722
70478,26729
70479,26723
70480,26796
70482,26795
70484,26797
70485,26791
70486,26798
70487,26792
70488,26799
70489,26793
70490,26736
70492,26735
70493,26730
70494,26737
70495,26731
70496,26738
70499,26733
70500,26166
70501,26164
70502,26165
70503,26160
70504,26167
70505,26161
70506,26168
70507,26162
70508,26169
70509,26163
70510,26146
70511,26144
70513,26140
70514,26147
70515,26141
70516,26148
70518,26149
70519,26143
70520,26156
70521,26154
70522,26155
70523,26150
70524,26157
70525,26151
70526,26158
70527,26152
70528,26159
70529,26153
70530,26106
70532,26105
70533,26100
70535,26101
70536,26108
70537,26102
70538,26109
70540,26176
70541,26174
70542,26175
70544,26177
70545,26171
70546,26178
70547,26172
70549,26173
70550,26116
70551,26114
70552,26115
70554,26117
70556,26118
70557,26112
70559,26113
70560,26186
70561,26184
70562,26185
70563,26180
70564,26187
70565,26181
70566,26188
70567,26182
70569,26183
70570,26126
70571,26124
70572,26125
70573,26120
70574,26127
70575,26121
70576,26128
70577,26122
70579,26123
70580,26196
70581,26194
70582,26195
70584,26197
70585,26191
70586,26198
70587,26192
70589,26193
70591,26134
70593,26130
70594,26137
70595,26131
70597,26132
70599,26133
70631,26804
70633,26800
70635,26801
70637,26802
70639,26803
70700,26266
70702,26265
70705,26261
70707,26262
70708,26269
70709,26263
70710,26246
70713,26240
70714,26247
70715,26241
70716,26248
70717,26242
70718,26249
70719,26243
70720,26256
70721,26254
70722,26255
70724,26257
70725,26251
70726,26258
70727,26252
70728,26259
70730,26206
70734,26207
70735,26201
70736,26208
70737,26202
70738,26209
70740,26276
70741,26274
70743,26270
70744,26277
70745,26271
70747,26272
70748,26279
70749,26273
70750,26216
70752,26215
70753,26210
70755,26211
70756,26218
70758,26219
70760,26286
70762,26285
70763,26280
70764,26287
70765,26281
70766,26288
70767,26282
70770,26226
70771,26224
70772,26225
70773,26220
70774,26227
70776,26228
70777,26222
70778,26229
70779,26223
70781,26294
70782,26295
70783,26290
70787,26292
70789,26293
70790,26236
70791,26234
70792,26235
70794,26237
70798,26239
70800,26966
70801,26964
70802,26965
70803,26960
70804,26967
70805,26961
70806,26968
70807,26962
70808,26969
70809,26963
70810,26946
70811,26944
70812,26945
70813,26940
70814,26947
70815,26941
70816,26948
70817,26942
70819,26943
70821,26954
70823,26950
70824,26957
70825,26951
70826,26958
70828,26959
70829,26953
70830,26906
70831,26904
70834,26907
70835,26901
70837,26902
70838,26909
70839,26903
70840,26976
70841,26974
70842,26975
70843,26970
70844,26977
70845,26971
70846,26978
70847,26972
70848,26979
70849,26973
70853,26910
70854,26917
70855,26911
70856,26918
70857,26912
70859,26913
70861,26984
70862,26985
70863,26980
70864,26987
70867,26982
70868,26989
70869,26983
70870,26926
70872,26925
70874,26927
70876,26928
70877,26922
70878,26929
70879,26923
70880,26996
70882,26995
70885,26991
70886,26998
70887,26992
70890,26936
70891,26934
70892,26935
70893,26930
70894,26937
70898,26939
70899,26933
70930,26306
70931,26304
70932,26305
70934,26307
70935,26301
70936,26308
70937,26302
70938,26309
70939,26303
70950,26316
70951,26314
70952,26315
70953,26310
70954,26317
70955,26311
70956,26318
70957,26312
70970,26326
70972,26325
70974,26327
70975,26321
70976,26328
70977,26322
70978,26329
70997,26332
71002,24665
71003,24660
71004,24667
71005,24661
71006,24668
71007,24662
71008,24669
71010,24646
71011,24644
71013,24640
71014,24647
71015,24641
71017,24642
71018,24649
71019,24643
71022,24655
